# x, y, category
0.569,0.479,1.000
0.184,0.110,0.000
0.281,0.604,1.000
-0.491,-0.395,2.000
-0.431,-0.356,2.000
0.048,-0.006,2.000
-0.215,-0.463,2.000
0.040,-0.021,2.000
-0.180,-0.035,1.000
0.053,0.120,0.000
-0.809,0.010,2.000
0.433,-0.355,0.000
0.357,0.054,0.000
-0.800,0.120,2.000
0.073,-0.163,2.000
-0.199,0.332,1.000
0.416,-0.135,0.000
0.406,-0.073,0.000
-0.736,-0.616,0.000
0.212,0.157,0.000
0.389,0.107,0.000
0.056,-0.015,2.000
-0.075,-0.393,2.000
-0.038,-0.305,2.000
0.728,0.362,1.000
0.524,-0.155,0.000
0.267,0.144,0.000
0.038,0.047,0.000
0.038,-0.311,2.000
-0.374,-0.399,2.000
-0.366,-0.725,0.000
-0.443,-0.346,2.000
-0.014,-0.751,0.000
-0.195,-0.008,1.000
-0.324,0.945,2.000
0.326,-0.463,0.000
0.099,-0.103,2.000
0.362,-0.560,0.000
-0.006,0.040,0.000
0.358,-0.584,0.000
0.243,-0.587,0.000
0.062,0.689,1.000
0.303,0.143,0.000
-0.203,0.288,1.000
0.415,-0.019,0.000
-0.173,-0.363,2.000
-0.152,-0.418,2.000
-0.085,-0.315,2.000
0.088,-0.255,2.000
0.404,-0.375,0.000
0.504,-0.248,0.000
-0.180,0.012,1.000
-0.023,0.473,1.000
-0.770,0.118,2.000
0.725,0.410,1.000
0.003,0.022,0.000
0.343,-0.658,0.000
-0.284,0.389,1.000
-0.023,-0.019,1.000
-0.729,0.518,2.000
-0.033,-0.017,1.000
-0.390,-0.395,2.000
0.470,-0.217,0.000
-0.091,-0.385,2.000
-0.079,-0.411,2.000
0.004,0.038,0.000
-0.458,-0.804,0.000
0.007,0.064,0.000
-0.171,-0.044,1.000
-0.300,0.261,1.000
-0.083,-0.741,0.000
0.042,-0.343,2.000
0.071,0.168,0.000
-0.738,0.003,2.000
0.440,0.580,1.000
-0.169,-0.005,1.000
0.095,-0.057,2.000
0.121,0.178,0.000
-0.214,0.000,1.000
0.615,0.311,1.000
0.009,0.060,0.000
0.355,-0.056,0.000
0.556,-0.273,0.000
0.640,0.549,1.000
0.107,-0.044,2.000
-0.305,-0.830,0.000
-0.163,0.469,1.000
-0.038,-0.375,2.000
0.034,-0.788,0.000
-0.542,0.807,2.000
-0.560,-0.719,0.000
0.664,0.501,1.000
0.146,-0.169,2.000
0.056,-0.307,2.000
-0.047,-0.350,2.000
0.158,-0.223,2.000
0.342,0.020,0.000
-0.028,-0.022,1.000
-0.185,-0.015,1.000
0.709,0.390,1.000
0.423,0.042,0.000
-0.489,-0.396,2.000
-0.344,0.435,1.000
0.041,-0.325,2.000
0.280,-0.727,0.000
-0.248,0.002,1.000
0.090,-0.226,2.000
-0.124,0.002,1.000
0.075,0.582,1.000
-0.338,0.282,1.000
-0.003,-0.784,0.000
0.927,0.080,1.000
-0.241,0.341,1.000
-0.750,0.082,2.000
0.362,-0.526,0.000
0.111,-0.078,2.000
