x, y, category
-0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
-6.594507090882759334e-06,9.979234828516814421e-05,0.000000000000000000e+00
-4.529733212593921505e-05,1.948233890025332033e-04,0.000000000000000000e+00
2.362474795340068463e-05,2.990984352759110468e-04,0.000000000000000000e+00
-1.052857374105966616e-04,3.859364174297975686e-04,0.000000000000000000e+00
-7.444416792481403557e-05,4.944775761983370927e-04,0.000000000000000000e+00
9.364736544281000529e-06,5.999869269499931608e-04,0.000000000000000000e+00
1.815225217559861954e-04,6.761269028794134701e-04,0.000000000000000000e+00
-2.032671168032595596e-04,7.738284683500927085e-04,0.000000000000000000e+00
1.026060295885895197e-05,9.000315240757743437e-04,0.000000000000000000e+00
2.901804547018496487e-04,9.570764513418080670e-04,0.000000000000000000e+00
-6.868926827902965338e-05,1.097963487884789403e-03,0.000000000000000000e+00
2.905771992242331457e-05,1.199768182658079562e-03,0.000000000000000000e+00
-1.963941891313158506e-04,1.285211022821627479e-03,0.000000000000000000e+00
-3.369563956891690566e-04,1.358989494518631240e-03,0.000000000000000000e+00
1.875406095670778748e-05,1.500032783877283714e-03,0.000000000000000000e+00
9.916777296049422979e-06,1.600129286757261213e-03,0.000000000000000000e+00
-1.584460411803392701e-04,1.692770787420978373e-03,0.000000000000000000e+00
-2.251863771821711250e-04,1.786040087104578565e-03,0.000000000000000000e+00
8.637851788649455846e-05,1.898225713650032427e-03,0.000000000000000000e+00
3.502017740672651639e-05,1.999893423957987623e-03,0.000000000000000000e+00
-1.591341193382101967e-04,2.094172501103978672e-03,0.000000000000000000e+00
-1.525365102623551193e-04,2.194926139590201199e-03,0.000000000000000000e+00
3.350131396855788582e-04,2.275703046304410841e-03,0.000000000000000000e+00
1.481796156512826584e-04,2.395661698639539334e-03,0.000000000000000000e+00
-4.137208329626985612e-04,2.465782889854184826e-03,0.000000000000000000e+00
-1.904373158759416207e-04,2.593277044889151593e-03,0.000000000000000000e+00
4.755788711833251791e-04,2.658059998572861061e-03,0.000000000000000000e+00
-3.673679815526565990e-04,2.776077989063219838e-03,0.000000000000000000e+00
-1.841671252061600561e-04,2.894436857547067875e-03,0.000000000000000000e+00
-1.314670353656662320e-03,2.696931984914019333e-03,0.000000000000000000e+00
-1.495872603760705743e-04,3.096699200741271328e-03,0.000000000000000000e+00
7.009212699914378099e-04,3.122620322824175374e-03,0.000000000000000000e+00
1.174220028680515146e-04,3.298240500628482272e-03,0.000000000000000000e+00
3.832400889642866991e-04,3.378674204633659323e-03,0.000000000000000000e+00
5.361895432337310686e-04,3.459039048822058066e-03,0.000000000000000000e+00
-1.504560959484953350e-04,3.597214943820258547e-03,0.000000000000000000e+00
-1.366119398117469224e-04,3.697847426362483279e-03,0.000000000000000000e+00
-1.285618098450352778e-03,3.576321369535275137e-03,0.000000000000000000e+00
-5.759481575278113880e-04,3.857632198149684756e-03,0.000000000000000000e+00
-1.964343987271671926e-04,3.995574302532829518e-03,0.000000000000000000e+00
-6.592842970776740912e-04,4.047061491995648450e-03,0.000000000000000000e+00
3.244397751254851615e-04,4.187871459534914589e-03,0.000000000000000000e+00
-6.728686662451236551e-05,4.299903607332823674e-03,0.000000000000000000e+00
-2.491532849304285398e-04,4.393380841844447132e-03,0.000000000000000000e+00
1.304901413063605693e-03,4.307120025001116848e-03,0.000000000000000000e+00
-8.654579507112821922e-04,4.518319949985313312e-03,0.000000000000000000e+00
-1.622282710647132025e-04,4.697669704316782650e-03,0.000000000000000000e+00
1.238277880671678028e-03,4.638025073404781866e-03,0.000000000000000000e+00
5.847439496400559178e-04,4.865478109472428855e-03,0.000000000000000000e+00
-1.256083459553415139e-03,4.840170977634606492e-03,0.000000000000000000e+00
7.106425310458760461e-04,5.050761326124286396e-03,0.000000000000000000e+00
-1.940408824531074947e-03,4.824958280129488034e-03,0.000000000000000000e+00
-2.667909141025744352e-04,5.293811618386575282e-03,0.000000000000000000e+00
8.183782653715359744e-04,5.338172898069538409e-03,0.000000000000000000e+00
-1.406651637819355790e-03,5.317648171648923713e-03,0.000000000000000000e+00
4.341986522016354775e-04,5.583703472727732584e-03,0.000000000000000000e+00
1.392551202549717352e-03,5.527865783745777341e-03,0.000000000000000000e+00
1.125007322524118874e-04,5.799488994262964707e-03,0.000000000000000000e+00
1.277414105964733669e-03,5.760657622730374836e-03,0.000000000000000000e+00
1.188402957005657389e-04,5.999423144291610166e-03,0.000000000000000000e+00
-5.293085503710603934e-04,6.077604427317802142e-03,0.000000000000000000e+00
8.968216147558549572e-04,6.135421757683858640e-03,0.000000000000000000e+00
-5.015825043351262698e-04,6.280633262832951459e-03,0.000000000000000000e+00
1.421986517047627453e-03,6.240684864203496773e-03,0.000000000000000000e+00
-6.828822333499883108e-04,6.464682755019302528e-03,0.000000000000000000e+00
2.974047582668784594e-04,6.593956605615059613e-03,0.000000000000000000e+00
1.826114266438714833e-03,6.447036996387455789e-03,0.000000000000000000e+00
-1.509741203170715919e-03,6.630982648660273607e-03,0.000000000000000000e+00
-2.197964266015149746e-03,6.541290126099816304e-03,0.000000000000000000e+00
2.312999416667717084e-04,6.996878004308848195e-03,0.000000000000000000e+00
-1.632798065026321759e-03,6.910430810835744425e-03,0.000000000000000000e+00
9.626351113730304693e-04,7.136084584543489137e-03,0.000000000000000000e+00
9.573564547871075232e-04,7.237688043663573559e-03,0.000000000000000000e+00
6.035446834639430136e-04,7.376088899822282052e-03,0.000000000000000000e+00
-7.236829573938535548e-05,7.500400957115346129e-03,0.000000000000000000e+00
1.815202007862624315e-03,7.380826200614845102e-03,0.000000000000000000e+00
4.723850605432001982e-04,7.686267763584143931e-03,0.000000000000000000e+00
-2.631421780191705402e-04,7.796340553079420498e-03,0.000000000000000000e+00
-1.031046586355425891e-03,7.833225823970255824e-03,0.000000000000000000e+00
1.286758543132232807e-03,7.896648299875855953e-03,0.000000000000000000e+00
-2.141788053144573939e-05,8.100781767394800090e-03,0.000000000000000000e+00
-7.634166276405703186e-04,8.165209432103436027e-03,0.000000000000000000e+00
-2.157295099377857552e-03,8.015600908302250582e-03,0.000000000000000000e+00
1.273763411363854027e-03,8.303712476293538883e-03,0.000000000000000000e+00
-3.136337921273946129e-04,8.495062448989109186e-03,0.000000000000000000e+00
8.499805242180989056e-04,8.558757347158862591e-03,0.000000000000000000e+00
-4.678889382371704056e-03,7.335743617284627531e-03,0.000000000000000000e+00
-1.029070994391197407e-03,8.740509322231313286e-03,0.000000000000000000e+00
1.317792758590694739e-03,8.802798794816499642e-03,0.000000000000000000e+00
2.995948732474651259e-03,8.487667148439998963e-03,0.000000000000000000e+00
-4.548431187374434026e-03,7.882787464999350263e-03,0.000000000000000000e+00
1.429172413503605960e-03,9.089246214731941040e-03,0.000000000000000000e+00
1.700265873647006367e-03,9.144200159333639930e-03,0.000000000000000000e+00
1.291188286529506039e-03,9.311847693120978847e-03,0.000000000000000000e+00
3.691086689757997353e-03,8.754652006593546809e-03,0.000000000000000000e+00
-5.462590200938899875e-04,9.585407442990348179e-03,0.000000000000000000e+00
-1.638628547702783347e-03,9.561575043146912367e-03,0.000000000000000000e+00
3.734128026871854321e-03,9.061760246249859346e-03,0.000000000000000000e+00
-2.153846407408470300e-03,9.663878651658748542e-03,0.000000000000000000e+00
-5.038212915082657546e-05,1.000087319394972994e-02,0.000000000000000000e+00
1.363507790720306636e-04,1.010008977810368525e-02,0.000000000000000000e+00
-2.122501503076556269e-03,9.977765205247814823e-03,0.000000000000000000e+00
2.768563652524850703e-04,1.029730895604009586e-02,0.000000000000000000e+00
2.710083663145002302e-03,1.004176686564606930e-02,0.000000000000000000e+00
9.046863007219071518e-04,1.046200726463268962e-02,0.000000000000000000e+00
1.163241186693276695e-03,1.053704632773482322e-02,0.000000000000000000e+00
-1.608672497954008983e-03,1.057946474210696639e-02,0.000000000000000000e+00
-4.025518824690949926e-04,1.079357602843409800e-02,0.000000000000000000e+00
1.645525671297411651e-03,1.077617793235971511e-02,0.000000000000000000e+00
-1.430806884166966166e-03,1.090765764454974460e-02,0.000000000000000000e+00
-2.706038303361602351e-03,1.076624365308220116e-02,0.000000000000000000e+00
2.769742212464719813e-03,1.085327691714317415e-02,0.000000000000000000e+00
-3.332772424119962579e-03,1.079852627909180796e-02,0.000000000000000000e+00
7.365438739188413580e-04,1.137732389541198409e-02,0.000000000000000000e+00
-1.813267532401113781e-03,1.135731107366391886e-02,0.000000000000000000e+00
-3.048822456871695501e-03,1.119337293508141686e-02,0.000000000000000000e+00
-3.121754876643025554e-03,1.127705762144554785e-02,0.000000000000000000e+00
4.745667835300565116e-03,1.080492892039326171e-02,0.000000000000000000e+00
-9.111011748904683082e-04,1.186626398231472625e-02,0.000000000000000000e+00
